Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Ch_A_length,Ch_B_length,Fab_Total_AAs,N_Disulfide_Bonds,N_Salt_Bridges,N_Hydrogen_Bonds,Delta_H_REF,Delta_Cp_Proxy,Hydrophobic_SASA_Folded,Polar_SASA_Folded,Hydrophobic_SASA_Unfolded,Polar_SASA_Unfolded,Delta_SASA_Hydrophobic,Delta_SASA_Polar,Delta_G_NU,Delta_G_NU_at_T_REF,Delta_S_REF,Tm_Proxy_K,Tm_Proxy_C,T_Onset_Proxy_K,T_Onset_Proxy_C,N_Helix,N_Sheet,N_Coil,Pct_Helix,Pct_Sheet,Pct_Coil,Chain_N_Disulfide_Bonds,Chain_N_Salt_Bridges,Chain_N_Hydrogen_Bonds,Chain_Delta_H_REF,Chain_Delta_Cp_Proxy,Chain_Hydrophobic_SASA_Folded,Chain_Polar_SASA_Folded,Chain_Hydrophobic_SASA_Unfolded,Chain_Polar_SASA_Unfolded,Chain_Delta_SASA_Hydrophobic,Chain_Delta_SASA_Polar,Chain_Delta_G_NU,Chain_Delta_G_NU_at_T_REF,Chain_Delta_S_REF,Chain_Tm_Proxy_K,Chain_Tm_Proxy_C,Chain_T_Onset_Proxy_K,Chain_T_Onset_Proxy_C
Eblasakimab,G4,Kappa,23096.98,202,211,413,4,19,281,-233.652,5.032,5573.901,9353.576,27335.0,29076.0,21761.099,19722.424,-192855.004,-192855.004,1269.348,273.15,0.0,273.15,0.0,18,162,228,4.41,39.71,55.88,2,14,151,-157.69,2.462,2292.398,4826.381,13232.0,15302.0,10939.602,10475.619,-192855.004,-192855.004,646.31,273.15,0.0,273.15,0.0
Ebronucimab,G1,Lambda,22361.66,221,217,438,4,30,247,-241.797,5.212,5648.14,9331.655,28610.0,30957.0,22961.86,21625.345,-188277.955,-188277.955,1298.203,273.15,0.0,273.15,0.0,26,147,256,6.06,34.27,59.67,2,11,123,-113.895,2.312,2444.214,4853.307,12969.0,15411.0,10524.786,10557.693,-188277.955,-188277.955,631.105,273.15,0.0,273.15,0.0
Ecleralimab,G1,Lambda,25124.72,218,213,431,4,14,271,-176.924,5.219,6643.037,9426.364,28995.0,29262.0,22351.963,19835.636,-185615.111,-185615.111,1317.076,273.15,0.0,273.15,0.0,17,128,279,4.01,30.19,65.8,2,7,121,-90.748,2.579,2650.07,4710.65,13899.0,15091.0,11248.93,10380.35,-185615.111,-185615.111,622.252,273.15,0.0,273.15,0.0
Eculizumab,G2,Kappa,25201.18,206,214,420,4,14,300,-197.689,4.735,6972.453,10455.75,27970.0,30492.0,20997.547,20036.25,-200427.539,-200427.539,1332.311,273.15,0.0,273.15,0.0,18,131,266,4.34,31.57,64.1,2,6,152,-100.098,2.272,3356.061,5378.207,13675.0,15685.0,10318.939,10306.793,-200427.539,-200427.539,671.902,273.15,0.0,273.15,0.0
Efalizumab,G1,Kappa,27811.23,219,214,433,2,15,272,-163.672,4.857,7053.128,11857.669,28215.0,31340.0,21161.872,19482.331,-191511.551,-191511.551,1331.328,273.15,0.0,273.15,0.0,24,127,269,5.71,30.24,64.05,1,7,137,-100.003,2.274,2759.899,6058.334,13042.0,16238.0,10282.101,10179.666,-191511.551,-191511.551,641.997,273.15,0.0,273.15,0.0
Eglatoprutug,G1,Kappa,24519.68,215,218,433,4,24,292,-253.726,5.056,6010.979,9719.876,28134.0,30268.0,22123.021,20548.124,-200217.648,-200217.648,1336.274,273.15,0.0,273.15,0.0,18,148,260,4.23,34.74,61.03,2,12,148,-130.906,2.572,2923.769,4629.718,14151.0,15008.0,11227.231,10378.282,-200217.648,-200217.648,671.094,273.15,0.0,273.15,0.0
Elegrobart,G1,Kappa,24970.91,222,219,441,2,20,298,-225.464,5.276,6421.429,9911.772,29444.0,31179.0,23022.571,21267.228,-206145.501,-206145.501,1362.536,273.15,0.0,273.15,0.0,13,165,250,3.04,38.55,58.41,1,13,157,-131.024,2.612,3279.038,4268.95,14614.0,14622.0,11334.962,10353.05,-206145.501,-206145.501,690.976,273.15,0.0,273.15,0.0
Elezanumab,G1,Lambda,23209.23,218,215,433,4,20,272,-237.648,5.018,5214.065,10639.958,27552.0,32110.0,22337.935,21470.042,-185686.573,-185686.573,1292.352,273.15,0.0,273.15,0.0,35,181,205,8.31,42.99,48.69,2,11,124,-120.609,2.333,2215.652,4993.117,12976.0,16037.0,10760.348,11043.883,-185686.573,-185686.573,622.391,273.15,0.0,273.15,0.0
Elotuzumab,G1,Kappa,25178.17,217,214,431,4,20,269,-189.483,5.109,7020.667,9638.942,29300.0,30187.0,22279.333,20548.058,-194545.331,-194545.331,1330.517,273.15,0.0,273.15,0.0,30,158,231,7.16,37.71,55.13,2,11,135,-110.864,2.18,3045.456,5085.035,13309.0,15996.0,10263.544,10910.965,-194545.331,-194545.331,652.136,273.15,0.0,273.15,0.0
Eltivutabart,G4,Kappa,28426.34,205,214,419,2,17,300,-198.392,4.432,7104.312,11082.222,26457.0,28978.0,19352.688,17895.778,-194737.606,-194737.606,1334.608,273.15,0.0,273.15,0.0,14,108,287,3.42,26.41,70.17,1,7,142,-99.18,2.355,2992.819,5291.805,13406.0,15174.0,10413.181,9882.195,-194737.606,-194737.606,652.82,273.15,0.0,273.15,0.0
Eltrekibart,G4,Kappa,24368.23,210,214,424,4,19,272,-225.315,4.822,5547.415,10223.441,26934.0,30636.0,21386.585,20412.559,-184114.634,-184114.634,1281.685,273.15,0.0,273.15,0.0,21,156,241,5.02,37.32,57.66,2,10,113,-96.801,2.517,2567.953,4461.278,13766.0,15214.0,11198.047,10752.722,-184114.634,-184114.634,617.199,273.15,0.0,273.15,0.0
Emactuzumab,G1,Kappa,24846.81,214,213,427,2,18,277,-193.131,4.395,6554.744,9954.735,27260.0,31997.0,20705.256,22042.265,-192032.758,-192032.758,1314.869,273.15,0.0,273.15,0.0,19,130,268,4.56,31.18,64.27,1,10,139,-115.306,2.095,2707.772,4808.671,12986.0,16471.0,10278.228,11662.329,-192032.758,-192032.758,643.694,273.15,0.0,273.15,0.0
Emapalumab,G1,Lambda,24698.73,221,217,438,4,27,256,-201.89,4.686,7124.405,10159.508,28526.0,31744.0,21401.595,21584.492,-192752.362,-192752.362,1341.11,273.15,0.0,273.15,0.0,23,174,229,5.4,40.85,53.76,2,14,128,-123.921,2.099,2723.158,5268.709,12982.0,16847.0,10258.842,11578.291,-192752.362,-192752.362,646.079,273.15,0.0,273.15,0.0
Emibetuzumab,G4,Kappa,24197.59,199,215,414,3,15,275,-217.953,4.675,5161.882,10546.184,26043.0,30752.0,20881.118,20205.816,-190357.648,-190357.648,1250.047,273.15,0.0,273.15,0.0,16,116,270,3.98,28.86,67.16,1,5,141,-103.886,2.417,2444.57,5430.123,13435.0,16429.0,10990.43,10998.877,-190357.648,-190357.648,638.114,273.15,0.0,273.15,0.0
Empasiprubart,G1,Kappa,29125.73,216,218,434,4,21,277,-199.41,4.543,7103.598,11293.206,27404.0,30953.0,20300.402,19659.794,-199738.323,-199738.323,1347.59,273.15,0.0,273.15,0.0,22,145,253,5.24,34.52,60.24,2,14,125,-96.398,2.059,3704.092,6001.54,13269.0,15942.0,9564.908,9940.46,-199738.323,-199738.323,669.602,273.15,0.0,273.15,0.0
Emugrobart,G1,Kappa,27620.04,218,217,435,1,20,261,-142.154,4.862,8113.828,10941.125,29248.0,30301.0,21134.172,19359.875,-201881.359,-201881.359,1354.846,273.15,0.0,273.15,0.0,17,125,276,4.07,29.9,66.03,1,9,123,-53.065,2.098,4397.417,6118.503,13965.0,15741.0,9567.583,9622.497,-201881.359,-201881.359,676.935,273.15,0.0,273.15,0.0
Enibarcimab,G1,Kappa,32154.16,216,219,435,1,12,301,-138.028,4.369,8598.878,13357.17,27914.0,31671.0,19315.122,18313.83,-212004.955,-212004.955,1398.972,273.15,0.0,273.15,0.0,14,100,306,3.33,23.81,72.86,1,11,141,-69.164,2.08,4793.445,6490.451,14102.0,15528.0,9308.555,9037.549,-212004.955,-212004.955,710.836,273.15,0.0,273.15,0.0
Enlonstobart,G4,Kappa,26832.17,197,214,411,0,15,265,-150.351,4.622,6985.972,10632.91,27092.0,29081.0,20106.028,18448.09,-197560.615,-197560.615,1276.649,273.15,0.0,273.15,0.0,12,102,278,3.06,26.02,70.92,0,7,142,-84.662,2.325,3413.504,5875.015,13782.0,15881.0,10368.496,10005.985,-197560.615,-197560.615,662.338,273.15,0.0,273.15,0.0
Enoblituzumab,G1,Kappa,27873.88,220,214,434,2,20,283,-189.906,4.583,7243.768,11827.838,27851.0,32020.0,20607.232,20192.162,-194822.144,-194822.144,1354.094,273.15,0.0,273.15,0.0,15,141,272,3.5,32.94,63.55,1,9,141,-106.922,2.167,2963.122,6115.04,13131.0,16867.0,10167.878,10751.96,-194822.144,-194822.144,653.078,273.15,0.0,273.15,0.0
Ensituximab,G1,Kappa,24165.25,211,213,424,2,19,293,-225.873,5.007,6045.064,10356.923,27960.0,30725.0,21914.936,20368.077,-193299.094,-193299.094,1313.127,273.15,0.0,273.15,0.0,21,147,241,5.13,35.94,58.92,1,10,141,-115.058,2.245,2797.697,5329.368,13235.0,16197.0,10437.303,10867.632,-193299.094,-193299.094,647.942,273.15,0.0,273.15,0.0
Enzelkitug,G1,Kappa,23545.79,217,218,435,2,12,297,-197.926,5.007,6202.943,9647.499,28512.0,31132.0,22309.057,21484.501,-199020.947,-199020.947,1336.074,273.15,0.0,273.15,0.0,25,148,245,5.98,35.41,58.61,1,5,150,-98.812,2.346,3007.524,5198.249,13756.0,16099.0,10748.476,10900.751,-199020.947,-199020.947,667.188,273.15,0.0,273.15,0.0
Epratuzumab,G1,Kappa,33502.23,214,219,433,0,17,294,-133.284,4.121,9148.658,14001.818,27788.0,32469.0,18639.342,18467.182,-209790.119,-209790.119,1405.716,273.15,0.0,273.15,0.0,29,106,276,7.06,25.79,67.15,0,11,142,-73.607,1.951,4495.705,7022.281,13586.0,16522.0,9090.295,9499.719,-209790.119,-209790.119,703.393,273.15,0.0,273.15,0.0
Eptinezumab,G1,Kappa,24594.23,209,219,428,3,5,279,-140.708,4.873,6811.669,10041.398,28334.0,30417.0,21522.331,20375.602,-203181.161,-203181.161,1313.292,273.15,0.0,273.15,0.0,18,148,254,4.29,35.24,60.48,2,4,152,-90.832,2.067,3406.732,6126.925,13264.0,16828.0,9857.268,10701.075,-203181.161,-203181.161,681.168,273.15,0.0,273.15,0.0
Erenumab,G2,Lambda,23699.38,214,216,430,4,16,274,-213.975,5.164,5601.009,10006.859,28170.0,30923.0,22568.991,20916.141,-192033.115,-192033.115,1294.025,273.15,0.0,273.15,0.0,14,129,272,3.37,31.08,65.54,2,5,134,-91.224,2.355,2831.05,4844.058,13689.0,15981.0,10857.95,11136.942,-192033.115,-192033.115,643.776,273.15,0.0,273.15,0.0
Ersodetug,G2,Kappa,27520.91,202,219,421,2,18,270,-152.316,4.394,7907.373,10116.666,27514.0,29055.0,19606.627,18938.334,-204267.399,-204267.399,1329.684,273.15,0.0,273.15,0.0,13,109,292,3.14,26.33,70.53,1,17,139,-121.291,2.263,3588.376,5110.202,13845.0,15312.0,10256.624,10201.798,-204267.399,-204267.399,684.709,273.15,0.0,273.15,0.0
Etalanetug,G1,Kappa,25472.13,217,219,436,2,19,290,-200.258,4.917,6949.693,10245.668,28930.0,31552.0,21980.307,21306.332,-203337.574,-203337.574,1356.742,273.15,0.0,273.15,0.0,38,131,254,8.98,30.97,60.05,1,11,153,-122.413,2.247,3143.48,5050.623,13678.0,16170.0,10534.52,11119.377,-203337.574,-203337.574,681.587,273.15,0.0,273.15,0.0
Etesevimab,G1,Kappa,25180.27,217,216,433,4,26,238,-186.325,4.99,6867.014,10392.145,29058.0,31684.0,22190.986,21291.855,-187976.218,-187976.218,1305.675,273.15,0.0,273.15,0.0,24,171,225,5.71,40.71,53.57,2,16,110,-111.9,2.224,2804.0,5500.69,13330.0,16794.0,10526.0,11293.31,-187976.218,-187976.218,630.1,273.15,0.0,273.15,0.0
Etigilimab,G1,Kappa,28569.7,216,214,430,0,10,310,-163.384,4.659,7464.621,12545.49,28192.0,32449.0,20727.379,19903.51,-200704.798,-200704.798,1366.616,273.15,0.0,273.15,0.0,17,115,286,4.07,27.51,68.42,0,6,147,-79.098,2.063,3676.076,6885.745,13129.0,16478.0,9452.924,9592.255,-200704.798,-200704.798,672.902,273.15,0.0,273.15,0.0
Etrolizumab,G1,Kappa,26673.01,215,214,429,2,11,279,-158.581,4.75,6896.778,11072.792,28007.0,31302.0,21110.222,20229.208,-198078.105,-198078.105,1322.419,273.15,0.0,273.15,0.0,21,145,251,5.04,34.77,60.19,1,6,141,-80.914,2.181,3523.433,6431.221,13216.0,15718.0,9692.567,9286.779,-198078.105,-198078.105,664.086,273.15,0.0,273.15,0.0
Evinacumab,G4,Kappa,24878.81,210,214,424,2,30,261,-221.708,4.925,6691.675,9539.127,28162.0,29334.0,21470.325,19794.873,-187927.945,-187927.945,1308.292,273.15,0.0,273.15,0.0,25,143,249,6.0,34.29,59.71,1,8,122,-86.978,2.17,2840.868,5589.217,13123.0,16639.0,10282.132,11049.783,-187927.945,-187927.945,630.022,273.15,0.0,273.15,0.0
Evolocumab,G2,Lambda,23156.76,199,215,414,4,10,240,-156.19,4.28,5592.388,10093.608,25668.0,31308.0,20075.612,21214.392,-185588.205,-185588.205,1221.81,273.15,0.0,273.15,0.0,18,169,227,4.35,40.82,54.83,2,1,124,-70.771,2.111,2609.141,5160.362,12863.0,16622.0,10253.859,11461.638,-185588.205,-185588.205,622.229,273.15,0.0,273.15,0.0
Exerenibart,G4,Kappa,27091.08,208,214,422,2,17,285,-175.218,4.656,7431.275,10748.924,28004.0,30241.0,20572.725,19492.076,-199938.781,-199938.781,1333.782,273.15,0.0,273.15,0.0,28,112,265,6.91,27.65,65.43,1,14,140,-112.78,2.489,3488.788,5739.651,14263.0,15523.0,10774.212,9783.349,-199938.781,-199938.781,670.22,273.15,0.0,273.15,0.0
Exidavnemab,G4,Kappa,26978.5,202,219,421,1,3,456,-282.832,5.051,7566.733,10394.045,28747.0,28314.0,21180.267,17919.955,-228005.919,-228005.919,1491.168,273.15,0.0,273.15,0.0,23,167,225,5.54,40.24,54.22,0,3,229,-146.757,2.406,3769.735,5432.789,14323.0,15284.0,10553.265,9851.211,-228005.919,-228005.919,764.243,273.15,0.0,273.15,0.0
Exlinkibart,G1,Kappa,27761.6,214,214,428,2,20,260,-176.728,4.867,6850.898,10976.485,27735.0,29588.0,20884.102,18611.515,-192577.409,-192577.409,1309.272,273.15,0.0,273.15,0.0,17,148,253,4.07,35.41,60.53,1,7,127,-76.348,2.068,3306.069,5745.505,12928.0,15773.0,9621.931,10027.495,-192577.409,-192577.409,645.652,273.15,0.0,273.15,0.0
Ezabenlimab,G4,Kappa,24706.73,204,218,422,2,11,273,-168.359,5.122,6265.648,9757.263,28136.0,29038.0,21870.352,19280.737,-192614.639,-192614.639,1286.641,273.15,0.0,273.15,0.0,13,131,269,3.15,31.72,65.13,1,6,129,-83.247,2.736,2950.138,4906.086,14579.0,15051.0,11628.862,10144.914,-192614.639,-192614.639,645.753,273.15,0.0,273.15,0.0
Falbikitug,G1,Kappa,25899.4,216,220,436,2,20,243,-122.301,4.806,8347.972,9263.78,29662.0,29606.0,21314.028,20342.22,-206507.707,-206507.707,1345.699,273.15,0.0,273.15,0.0,19,138,271,4.44,32.24,63.32,1,14,136,-94.687,2.223,4052.506,4410.625,14431.0,15291.0,10378.494,10880.375,-206507.707,-206507.707,692.313,273.15,0.0,273.15,0.0
Farletuzumab,G1,Kappa,22754.66,217,217,434,3,21,227,-167.964,5.076,6201.442,9333.815,28840.0,31179.0,22638.558,21845.185,-186122.616,-186122.616,1274.036,273.15,0.0,273.15,0.0,24,169,228,5.7,40.14,54.16,1,9,118,-96.064,2.134,2477.445,5021.566,13170.0,17532.0,10692.555,12510.434,-186122.616,-186122.616,623.936,273.15,0.0,273.15,0.0
Fasinumab,G4,Kappa,22723.23,203,214,417,4,20,255,-207.969,4.914,5721.237,9044.155,27241.0,29063.0,21519.763,20018.845,-195012.98,-195012.98,1256.031,273.15,0.0,273.15,0.0,15,137,254,3.69,33.74,62.56,2,9,141,-111.297,2.236,2948.138,5219.146,13339.0,16027.0,10390.862,10807.854,-195012.98,-195012.98,653.703,273.15,0.0,273.15,0.0
Favezelimab,G4,Kappa,23052.68,203,218,421,4,28,274,-271.917,4.913,5203.304,9467.628,26622.0,29215.0,21418.696,19747.372,-191779.014,-191779.014,1278.083,273.15,0.0,273.15,0.0,36,181,194,8.76,44.04,47.2,2,17,125,-138.234,2.506,2510.653,4754.173,13540.0,15119.0,11029.347,10364.827,-191779.014,-191779.014,642.766,273.15,0.0,273.15,0.0
Feladilimab,G4,Kappa,25743.95,205,213,418,3,15,284,-189.355,4.311,6665.813,11043.874,26417.0,31078.0,19751.187,20034.126,-195567.88,-195567.88,1304.645,273.15,0.0,273.15,0.0,15,98,295,3.68,24.02,72.3,2,9,139,-103.409,2.262,3183.642,5357.003,13490.0,15705.0,10306.358,10347.997,-195567.88,-195567.88,655.591,273.15,0.0,273.15,0.0
Felzartamab,G1,Lambda,28413.43,218,213,431,2,14,260,-121.22,4.585,8111.187,11744.115,28480.0,31248.0,20368.813,19503.885,-184445.277,-184445.277,1340.78,273.15,0.0,273.15,0.0,17,146,257,4.05,34.76,61.19,1,8,114,-80.638,2.305,2774.481,5158.129,13260.0,15658.0,10485.519,10499.871,-184445.277,-184445.277,618.362,273.15,0.0,273.15,0.0
Fepixnebart,G4,Kappa,24462.75,202,219,421,4,30,309,-276.839,4.898,6726.443,9458.051,28075.0,29128.0,21348.557,19669.949,-205006.356,-205006.356,1353.161,273.15,0.0,273.15,0.0,21,153,241,5.06,36.87,58.07,2,13,157,-139.874,2.393,3085.022,4993.685,13822.0,15471.0,10736.978,10477.315,-205006.356,-205006.356,687.126,273.15,0.0,273.15,0.0
Fianlimab,G4,Kappa,26880.41,207,214,421,2,7,324,-182.205,4.697,7111.787,10135.618,27722.0,29389.0,20610.213,19253.382,-201634.292,-201634.292,1352.795,273.15,0.0,273.15,0.0,17,161,233,4.14,39.17,56.69,1,6,159,-105.068,2.396,3277.293,4993.912,13877.0,15060.0,10599.707,10066.088,-201634.292,-201634.292,675.932,273.15,0.0,273.15,0.0
Ficlatuzumab,G1,Kappa,25474.86,216,214,430,2,11,272,-173.77,4.844,6009.185,10855.378,27653.0,31810.0,21643.815,20954.622,-181824.79,-181824.79,1295.23,273.15,0.0,273.15,0.0,13,143,261,3.12,34.29,62.59,1,5,119,-86.447,2.4,2262.136,5093.716,13097.0,15793.0,10834.864,10699.284,-181824.79,-181824.79,609.553,273.15,0.0,273.15,0.0
Finotonlimab,G4,Kappa,29565.85,202,218,420,2,12,291,-125.515,4.357,8859.403,10780.148,28003.0,28714.0,19143.597,17933.852,-210409.486,-210409.486,1366.485,273.15,0.0,273.15,0.0,10,121,278,2.44,29.58,67.97,1,5,143,-46.439,2.161,4822.445,6076.476,14387.0,15166.0,9564.555,9089.524,-210409.486,-210409.486,705.561,273.15,0.0,273.15,0.0
Firsekibart,G4,Lambda,27386.21,212,212,424,2,16,279,-169.542,4.476,7258.306,11037.08,27033.0,29765.0,19774.694,18727.92,-194821.931,-194821.931,1326.458,273.15,0.0,273.15,0.0,11,127,275,2.66,30.75,66.59,1,5,136,-72.808,2.228,3487.67,5989.809,13482.0,15743.0,9994.33,9753.191,-194821.931,-194821.931,653.192,273.15,0.0,273.15,0.0
Fiztasovimab,G1,Lambda,27785.45,222,216,438,2,11,249,-84.455,4.916,8661.791,11436.476,30021.0,30988.0,21359.209,19551.524,-189885.467,-189885.467,1354.545,273.15,0.0,273.15,0.0,21,146,252,5.01,34.84,60.14,1,7,121,-77.381,2.504,3024.778,5678.293,13990.0,15883.0,10965.222,10204.707,-189885.467,-189885.467,636.619,273.15,0.0,273.15,0.0
Fletikumab,G4,Kappa,27951.52,211,214,425,2,16,308,-179.727,4.461,8010.928,11444.184,27828.0,30421.0,19817.072,18976.816,-202439.534,-202439.534,1376.273,273.15,0.0,273.15,0.0,23,118,272,5.57,28.57,65.86,1,9,145,-89.314,2.154,3827.439,5844.034,13646.0,15716.0,9818.561,9871.966,-202439.534,-202439.534,678.686,273.15,0.0,273.15,0.0
Foralumab,G1,Kappa,31267.31,216,215,431,0,18,309,-143.295,4.771,9508.19,11851.977,29655.0,29177.0,20146.81,17325.023,-204392.002,-204392.002,1426.705,273.15,0.0,273.15,0.0,20,119,273,4.85,28.88,66.26,0,9,148,-85.753,2.385,3929.861,6158.154,14142.0,15221.0,10212.139,9062.846,-204392.002,-204392.002,685.247,273.15,0.0,273.15,0.0
Fremanezumab,G2,Kappa,26870.9,206,214,420,2,15,291,-190.654,4.988,6733.845,11275.348,28027.0,30039.0,21293.155,18763.652,-191961.058,-191961.058,1316.346,273.15,0.0,273.15,0.0,12,107,294,2.91,25.91,71.19,1,8,142,-113.54,2.502,2578.389,6136.728,13440.0,16065.0,10861.611,9928.272,-191961.058,-191961.058,643.46,273.15,0.0,273.15,0.0
Freneslerbart,G4,Kappa,28273.62,203,214,417,2,10,251,-94.735,4.139,8170.616,11569.348,27069.0,30621.0,18898.384,19051.652,-194833.972,-194833.972,1301.265,273.15,0.0,273.15,0.0,16,104,290,3.9,25.37,70.73,1,4,125,-49.69,2.011,3812.387,6350.176,13343.0,16594.0,9530.613,10243.824,-194833.972,-194833.972,653.31,273.15,0.0,273.15,0.0
Frexalimab,G1,Kappa,25885.58,218,214,432,4,23,257,-207.424,4.639,6303.054,10876.714,27546.0,32409.0,21242.946,21532.286,-190755.085,-190755.085,1305.576,273.15,0.0,273.15,0.0,18,157,247,4.27,37.2,58.53,2,15,125,-123.619,2.388,2775.243,5082.928,13427.0,15367.0,10651.757,10284.072,-190755.085,-190755.085,639.381,273.15,0.0,273.15,0.0
Frovocimab,G4,Kappa,30032.36,209,219,428,2,14,327,-166.875,4.496,8964.992,11131.504,28594.0,29282.0,19629.008,18150.496,-220222.107,-220222.107,1423.125,273.15,0.0,273.15,0.0,16,140,263,3.82,33.41,62.77,1,6,163,-60.575,2.027,5217.016,6499.361,14389.0,15598.0,9171.984,9098.639,-220222.107,-220222.107,738.425,273.15,0.0,273.15,0.0
Fulranumab,G2,Kappa,27528.31,207,214,421,2,6,312,-152.694,4.542,7652.234,10475.637,27880.0,29941.0,20227.766,19465.363,-194232.782,-194232.782,1353.306,273.15,0.0,273.15,0.0,22,151,236,5.38,36.92,57.7,1,4,149,-99.875,2.413,2764.998,4998.339,13646.0,15716.0,10881.002,10717.661,-194232.782,-194232.782,651.125,273.15,0.0,273.15,0.0
Futermestotug,G1,Kappa,26897.79,220,214,434,2,19,303,-221.483,5.038,6620.677,10696.844,28439.0,30531.0,21818.323,19834.156,-202117.089,-202117.089,1357.517,273.15,0.0,273.15,0.0,12,141,263,2.88,33.89,63.22,1,11,146,-102.44,2.118,3662.418,5389.105,13366.0,15229.0,9703.582,9839.895,-202117.089,-202117.089,677.56,273.15,0.0,273.15,0.0
Futuximab,G1,Kappa,26715.18,221,214,435,3,16,293,-204.799,4.208,6568.055,11461.692,26698.0,33426.0,20129.945,21964.308,-198219.593,-198219.593,1346.201,273.15,0.0,273.15,0.0,17,145,263,4.0,34.12,61.88,2,8,143,-99.502,1.837,3339.922,5278.721,12685.0,16447.0,9345.078,11168.279,-198219.593,-198219.593,664.498,273.15,0.0,273.15,0.0
Galcanezumab,G4,Kappa,23822.58,203,214,417,4,18,301,-249.965,4.612,5561.412,9559.437,26359.0,30054.0,20797.588,20494.563,-189880.923,-189880.923,1296.035,273.15,0.0,273.15,0.0,15,150,249,3.62,36.23,60.14,2,11,134,-124.554,2.253,2457.839,4625.929,13000.0,15724.0,10542.161,11098.071,-189880.923,-189880.923,636.446,273.15,0.0,273.15,0.0
Ganitumab,G1,Kappa,29205.08,217,219,436,3,13,305,-139.794,4.651,9168.26,11580.466,29536.0,30534.0,20367.74,18953.534,-213304.987,-213304.987,1422.206,273.15,0.0,273.15,0.0,13,135,276,3.07,31.84,65.09,2,10,154,-90.876,2.178,4444.945,5626.381,14276.0,15335.0,9831.055,9708.619,-213304.987,-213304.987,715.124,273.15,0.0,273.15,0.0
Gantenerumab,G1,Kappa,26662.68,224,215,439,2,15,286,-172.751,5.042,7249.964,10951.468,29210.0,31153.0,21960.036,20201.532,-194526.26,-194526.26,1362.249,273.15,0.0,273.15,0.0,17,117,296,3.95,27.21,68.84,1,8,137,-96.881,2.539,3044.773,5395.117,14119.0,15616.0,11074.227,10220.883,-194526.26,-194526.26,652.119,273.15,0.0,273.15,0.0
Garadacimab,G4,Lambda,27217.02,213,215,428,2,10,285,-158.57,5.096,6977.216,11383.807,28485.0,29860.0,21507.784,18476.193,-200981.623,-200981.623,1327.43,273.15,0.0,273.15,0.0,20,132,262,4.83,31.88,63.29,1,5,143,-72.146,2.264,3794.148,6453.024,13705.0,15671.0,9910.852,9217.976,-200981.623,-200981.623,673.854,273.15,0.0,273.15,0.0
Garetosmab,G4,Kappa,27061.93,210,215,425,2,7,307,-155.498,5.002,7500.086,11139.672,28743.0,29646.0,21242.914,18506.328,-197175.887,-197175.887,1353.502,273.15,0.0,273.15,0.0,12,138,261,2.92,33.58,63.5,1,5,146,-90.974,2.318,3161.042,5580.354,13524.0,15629.0,10362.958,10048.646,-197175.887,-197175.887,661.026,273.15,0.0,273.15,0.0
Gatipotuzumab,G1,Kappa,30233.78,215,219,434,2,17,269,-120.515,4.714,8979.403,11859.993,29430.0,30517.0,20450.597,18657.007,-206669.438,-206669.438,1380.485,273.15,0.0,273.15,0.0,13,141,261,3.13,33.98,62.89,1,9,132,-59.025,2.363,4518.989,5888.844,14778.0,15267.0,10259.011,9378.156,-206669.438,-206669.438,692.975,273.15,0.0,273.15,0.0
Gemtuzumab,G4,Kappa,29199.01,200,218,418,2,10,292,-139.87,4.21,8005.218,11691.505,27031.0,30515.0,19025.782,18823.495,-199838.698,-199838.698,1340.13,273.15,0.0,273.15,0.0,12,82,315,2.93,20.05,77.02,1,6,146,-93.05,2.361,3238.008,5242.309,13890.0,15752.0,10651.992,10509.691,-199838.698,-199838.698,669.95,273.15,0.0,273.15,0.0
Gevokizumab,G2,Kappa,28266.21,204,214,418,0,24,270,-172.86,4.781,7725.593,12134.079,28108.0,30040.0,20382.407,17905.921,-194310.644,-194310.644,1323.14,273.15,0.0,273.15,0.0,27,60,316,6.7,14.89,78.41,0,17,129,-119.68,2.319,3092.787,6511.909,13347.0,16238.0,10254.213,9726.091,-194310.644,-194310.644,651.32,273.15,0.0,273.15,0.0
Gimistotug,G1,Kappa,22838.99,218,214,432,3,33,273,-291.453,4.672,5021.874,10356.65,26876.0,33345.0,21854.126,22988.35,-190479.126,-190479.126,1298.547,273.15,0.0,273.15,0.0,27,205,188,6.43,48.81,44.76,2,22,128,-165.686,2.275,2332.576,5068.433,13080.0,16562.0,10747.424,11493.567,-190479.126,-190479.126,638.314,273.15,0.0,273.15,0.0
Golimumab,G1,Kappa,27064.9,224,215,439,3,15,291,-167.269,4.984,7829.227,10599.183,29644.0,30878.0,21814.773,20278.817,-198024.424,-198024.424,1382.731,273.15,0.0,273.15,0.0,17,128,282,3.98,29.98,66.04,1,8,137,-85.108,2.449,3515.669,5065.586,14340.0,15329.0,10824.331,10263.414,-198024.424,-198024.424,663.892,273.15,0.0,273.15,0.0
